Country,Happiness_Rank,Happiness_Score,Whisker_high,Whisker_low,GDP_per_Capita,Family,Life_Expectancy,Freedom,Generosity,Government_Corruption
China,79,5.273,5.31928,5.22672,1.08117,1.16084,0.741416,0.472788,0.0288068,0.0227943
Pakistan,80,5.269,5.35998,5.17802,0.726884,0.672691,0.402048,0.235215,0.315446,0.124348
Indonesia,81,5.262,5.35289,5.17111,0.995539,1.27444,0.492346,0.443323,0.611705,0.0153171
Venezuela,82,5.25,5.37003,5.12997,1.12843,1.43134,0.617144,0.153997,0.0650196,0.0644911
Montenegro,83,5.237,5.34104,5.13296,1.12113,1.23838,0.667465,0.194989,0.197911,0.0881742
Morocco,84,5.235,5.31834,5.15166,0.878115,0.774864,0.597711,0.408158,0.03221,0.0877632
Azerbaijan,85,5.234,5.29929,5.16871,1.1536,1.1524,0.540776,0.398156,0.0452693,0.180988
Dominican Republic,86,5.23,5.34906,5.11094,1.07937,1.40242,0.574874,0.55259,0.186968,0.113945
Greece,87,5.227,5.32525,5.12875,1.28949,1.23941,0.810199,0.0957313,0,0.0432898
Lebanon,88,5.225,5.31888,5.13112,1.07499,1.12962,0.735081,0.288516,0.264451,0.0375138
Portugal,89,5.195,5.28504,5.10496,1.31518,1.36704,0.795844,0.498465,0.0951027,0.0158695
Bosnia and Herzegovina,90,5.182,5.27634,5.08766,0.982409,1.06934,0.705186,0.204403,0.328867,0
Honduras,91,5.181,5.30158,5.06042,0.730573,1.14394,0.582569,0.34808,0.236189,0.0733455
Macedonia,92,5.175,5.27217,5.07783,1.06458,1.20789,0.644948,0.325906,0.253761,0.0602778
Somalia,93,5.151,5.24248,5.05952,0.0226432,0.721151,0.113989,0.602127,0.291631,0.28241
Vietnam,94,5.074,5.14728,5.00072,0.788548,1.27749,0.652169,0.571056,0.234968,0.0876332
Nigeria,95,5.074,5.2095,4.9385,0.783756,1.21577,0.0569157,0.394953,0.230947,0.0261216
Tajikistan,96,5.041,5.11143,4.97057,0.524714,1.27146,0.529235,0.471567,0.248998,0.146377
Bhutan,97,5.011,5.07933,4.94267,0.885416,1.34013,0.495879,0.501538,0.474055,0.17338
Kyrgyzstan,98,5.004,5.08992,4.91808,0.59622,1.39424,0.553458,0.454943,0.42858,0.0394392
Nepal,99,4.962,5.06736,4.85664,0.47982,1.17928,0.504131,0.440306,0.394096,0.0729755
Mongolia,100,4.955,5.02168,4.88832,1.02724,1.49301,0.557783,0.394144,0.338464,0.0329023
South Africa,101,4.829,4.92944,4.72856,1.0547,1.38479,0.18708,0.479247,0.139362,0.0725095
Tunisia,102,4.805,4.88437,4.72563,1.00727,0.868351,0.613212,0.289681,0.0496934,0.0867231
Palestinian Territories,103,4.775,4.88185,4.66815,0.716249,1.15565,0.565667,0.254711,0.114173,0.0892826
Egypt,104,4.735,4.82513,4.64487,0.989702,0.997471,0.520187,0.28211,0.128631,0.114381
Bulgaria,105,4.714,4.80369,4.62431,1.16146,1.43438,0.708218,0.289232,0.113178,0.0110515
Sierra Leone,106,4.709,4.85064,4.56736,0.368421,0.984136,0.00556475,0.318698,0.293041,0.0710952
Cameroon,107,4.695,4.79654,4.59346,0.564305,0.946018,0.132892,0.430389,0.236298,0.0513066
Iran,108,4.692,4.79822,4.58578,1.15687,0.711551,0.639333,0.249323,0.387243,0.0487611
Albania,109,4.644,4.75246,4.53554,0.996193,0.803685,0.73116,0.381499,0.201313,0.0398642
Bangladesh,110,4.608,4.68982,4.52618,0.586683,0.735132,0.533241,0.478357,0.172255,0.123718
Namibia,111,4.574,4.77035,4.37765,0.964434,1.09847,0.338612,0.520304,0.0771337,0.093147
Kenya,112,4.553,4.65569,4.45031,0.560479,1.06795,0.309988,0.452764,0.44486,0.0646413
Mozambique,113,4.55,4.7741,4.3259,0.234306,0.870701,0.106654,0.480791,0.322228,0.179436
Myanmar,114,4.545,4.61474,4.47526,0.367111,1.12324,0.397523,0.514492,0.838075,0.188816
Senegal,115,4.535,4.6016,4.4684,0.479309,1.17969,0.409363,0.377922,0.183469,0.11546
Zambia,116,4.514,4.64411,4.38389,0.636407,1.00319,0.257836,0.461603,0.24958,0.0782136
Iraq,117,4.497,4.62259,4.37141,1.10271,0.978613,0.50118,0.288556,0.199637,0.107216
Gabon,118,4.465,4.55736,4.37264,1.19821,1.15562,0.356579,0.312329,0.0437854,0.0760468
Ethiopia,119,4.46,4.54273,4.37727,0.339234,0.864669,0.35341,0.408843,0.312651,0.165456
Sri Lanka,120,4.44,4.55345,4.32655,1.00985,1.25998,0.625131,0.561213,0.490864,0.073654
Armenia,121,4.376,4.46673,4.28527,0.900597,1.00748,0.637524,0.198303,0.0834881,0.0266744
India,122,4.315,4.37152,4.25848,0.792221,0.754373,0.455428,0.469987,0.231538,0.0922269
Mauritania,123,4.292,4.37716,4.20684,0.648457,1.27203,0.285349,0.096098,0.20187,0.136957
Congo (Brazzaville),124,4.291,4.41005,4.17195,0.808964,0.832044,0.289957,0.435026,0.120852,0.0796181
Georgia,125,4.286,4.37493,4.19707,0.950613,0.570615,0.649547,0.30941,0.0540088,0.251667
Congo (Kinshasa),126,4.28,4.35781,4.20219,0.0921023,1.22902,0.191407,0.235961,0.246456,0.0602414
Mali,127,4.19,4.26967,4.11033,0.47618,1.28147,0.169366,0.306614,0.183354,0.10497
Ivory Coast,128,4.18,4.27518,4.08482,0.603049,0.90478,0.0486422,0.447706,0.201237,0.130062
Cambodia,129,4.168,4.27852,4.05748,0.601765,1.00624,0.429783,0.633376,0.385923,0.068106
Sudan,130,4.139,4.34575,3.93225,0.659517,1.21401,0.290921,0.0149959,0.182317,0.0898475
Ghana,131,4.12,4.22271,4.01729,0.667225,0.873665,0.295638,0.423026,0.256924,0.0253364
Ukraine,132,4.096,4.18541,4.00659,0.894652,1.39454,0.575904,0.122975,0.270061,0.0230295
Uganda,133,4.081,4.1958,3.9662,0.381431,1.12983,0.217633,0.443186,0.325766,0.0570697
Burkina Faso,134,4.032,4.12406,3.93994,0.350228,1.04328,0.215844,0.324368,0.250865,0.120328
Niger,135,4.028,4.11195,3.94405,0.161925,0.993025,0.268505,0.363659,0.228674,0.138573
Malawi,136,3.97,4.07748,3.86252,0.233442,0.512569,0.31509,0.466915,0.28717,0.0727117
Chad,137,3.936,4.03471,3.83729,0.438013,0.953856,0.0411347,0.162342,0.216114,0.0535819
Zimbabwe,138,3.875,3.9787,3.7713,0.375847,1.0831,0.196764,0.336384,0.189143,0.0953754
Lesotho,139,3.808,4.04434,3.57166,0.521021,1.1901,0,0.390661,0.157497,0.119095
Angola,140,3.795,3.95164,3.63836,0.858428,1.10441,0.0498687,0,0.0979265,0.0697203
Afghanistan,141,3.794,3.87366,3.71434,0.401477,0.581543,0.180747,0.10618,0.311871,0.0611578
Botswana,142,3.766,3.87412,3.65788,1.12209,1.22155,0.341756,0.505196,0.0993484,0.0985832
Benin,143,3.657,3.74578,3.56822,0.431085,0.4353,0.20993,0.425963,0.207948,0.060929
Madagascar,144,3.644,3.71432,3.57368,0.305809,0.91302,0.375223,0.189197,0.208733,0.067232
Haiti,145,3.603,3.73471,3.47129,0.36861,0.64045,0.277321,0.0303699,0.489204,0.0998721
Yemen,146,3.593,3.69275,3.49325,0.591683,0.935382,0.310081,0.249464,0.104125,0.0567674
South Sudan,147,3.591,3.72554,3.45646,0.397249,0.601323,0.163486,0.147062,0.285671,0.116794
Liberia,148,3.533,3.65376,3.41224,0.119042,0.872118,0.229918,0.332881,0.26655,0.0389482
Guinea,149,3.507,3.58443,3.42957,0.24455,0.791245,0.194129,0.348588,0.264815,0.110938
Togo,150,3.495,3.59404,3.39596,0.305445,0.431883,0.247106,0.380426,0.196896,0.095665
Rwanda,151,3.471,3.54303,3.39897,0.368746,0.945707,0.326425,0.581844,0.252756,0.45522
Syria,152,3.462,3.66367,3.26033,0.777153,0.396103,0.500533,0.0815394,0.493664,0.151347
Tanzania,153,3.349,3.46143,3.23657,0.511136,1.04199,0.364509,0.390018,0.354256,0.0660351
Burundi,154,2.905,3.07469,2.73531,0.0916226,0.629794,0.151611,0.0599008,0.204435,0.0841479
Central African Republic,155,2.693,2.86488,2.52112,0,0,0.0187727,0.270842,0.280876,0.0565651
